modelo,accuracy,f1_macro,f1_weighted
LinearSVC,0.811965811965812,0.8164223759332455,0.8107036012833114
LogisticRegression,0.7948717948717948,0.8052742260547792,0.7926066554671966
ComplementNB,0.7606837606837606,0.6994159591109202,0.7490279021318443
