,cantidad_palabras,criticidad,sentimiento,medio_La Prensa,medio_TVN,medio_Telemetro,categoria_original_contenido-exclusivo,categoria_original_deportes,categoria_original_economia,categoria_original_entretenimiento,categoria_original_mundo,categoria_original_nacionales,categoria_original_otro,categoria_original_politica,categoria_original_salud,categoria_original_tecnologia,anio,mes
63,332,23,-0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
64,431,16,-0.8,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
65,241,6,0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
66,662,35,-0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
67,348,30,0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
68,391,6,-0.8,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
69,781,39,0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
70,184,9,-1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
71,440,0,-1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
72,527,37,-0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
73,259,3,-0.95,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
74,594,10,-0.8,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
75,220,14,-0.9,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
76,229,0,-0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
77,250,0,-1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
78,301,12,-0.65,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
79,515,13,-1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
80,265,21,-0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
81,255,23,0.95,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
82,370,21,0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
83,781,14,-0.8,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,5
84,659,14,-1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,5
85,699,10,-1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,5
86,657,30,-1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,5
87,941,15,-0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,4
88,1269,24,-0.8,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,4
89,878,0,-0.8,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,4
90,761,28,0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,4
91,363,0,0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,4
92,931,24,0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,4
93,1000,10,-0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,4
94,276,0,0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,4
95,792,10,0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,3
96,1617,16,0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,3
97,1618,10,-0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,3
98,725,16,-0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,3
99,757,6,0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,3
100,811,31,0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,3
101,2466,23,0.95,0,1,0,1,0,0,0,0,0,0,0,0,0,2025,6
102,1167,5,-0.95,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,3
103,643,18,0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,3
104,452,0,-0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,3
105,2789,48,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,3
106,503,6,-1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,3
107,1133,29,0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,3
108,565,3,0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,3
109,921,12,0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,3
110,1077,19,0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,3
111,485,18,0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,2
112,899,18,0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,2
113,685,10,-1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,2
114,286,9,0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,1
115,1316,10,0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,1
116,755,33,0.8,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,1
117,786,40,0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,1
118,1025,22,0.8,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,1
119,535,6,-0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,1
120,899,20,0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,1
121,673,9,-0.85,0,1,0,1,0,0,0,0,0,0,0,0,0,2026,1
122,670,20,0.95,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
123,439,3,0.8,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
124,632,0,0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
125,820,9,-0.95,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
126,647,18,0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
127,645,0,0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
128,323,26,-0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
129,722,16,-0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
130,723,9,0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
131,649,0,-1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
132,753,0,0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
133,655,0,0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
134,169,0,-0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
135,641,0,-1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
136,456,8,0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
